Category,Cooking Method,Protein (g),Total fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Saturated Fat (g),Carbohydrate (g),Total Sugars (g),Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (μg),Zinc (mg),Selenium (mg),Vitamin A (RAE),Thiamin (mg),Riboflavin (mg),Vitamin B6 (mg),Vitamin B12 (μg),Vitamin C (mg),"Vitamin D (D2 + D3), IU",Vitamin E (mg),Vitamin K (μg),Niacin (mg),Folate (μg),Choline (mg),Pantothenic acid (mg),Biotin (μg),Lysine (mg),Methionine (mg),Histidine (mg),Isoleucine (mg),Leucine (mg),Phenylalanine (mg),Threonine (mg),Tryptophan (mg),Valine (mg),Cystine (mg)
Game,"Steamed, + Cooking liquid","0,98","0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,9","0,75","0,9","0,95","0,85",1,1,1,1,1,1,1,"0,9"
Game,"Stew, braise, - Cooking liquid","0,65","0,8","0,8","0,8","0,8","0,8","0,9","0,9",1,"0,6","0,55","0,8","0,65","0,8",1,"0,95",1,1,"0,8","0,4","0,65","0,45","0,6","0,8","0,8","0,8","0,8","0,55","0,65","0,9","0,5","0,7","0,9","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,85"
Game,"Stew, braise, + Cooking liquid","0,98","0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,9","0,75","0,9","0,95","0,85",1,1,1,1,1,1,1,"0,9"
Game,"Fry in pan, - Cooking liquid","0,95","0,8","0,8","0,8","0,8","0,8",1,1,1,"0,85","0,8","0,9","0,85","0,85","0,95","0,95",1,1,"0,8","0,6","0,8","0,6","0,7","0,8","0,8","0,8","0,8","0,7","0,8","0,9","0,8","0,9","0,9","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,9"
Game,"Fry in pan, + Cooking liquid","0,98","0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,9","0,75","0,9","0,95","0,85",1,1,1,1,1,1,1,"0,9"
Game,"Fry in oven, - Cooking liquid","0,95","0,8","0,8","0,8","0,8","0,8",1,1,1,"0,85","0,8","0,9","0,85","0,85","0,95","0,95",1,1,"0,8","0,6","0,8","0,6","0,7","0,8","0,8","0,8","0,8","0,7","0,8","0,9","0,8","0,9","0,9","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,9"
Game,"Fry in oven, + Cooking liquid","0,98","0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,9","0,75","0,9","0,95","0,85",1,1,1,1,1,1,1,"0,9"
Game,Deep fry,"0,95",1,1,1,1,1,1,1,1,"0,85","0,8","0,9","0,85","0,85","0,95","0,95",1,1,"0,8","0,6","0,8","0,6","0,7","0,8","0,8","0,8","0,8","0,7","0,8","0,9","0,8","0,9","0,9","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,9"
Game,"Fry in pan, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,9",1,1,"0,95",1,1,1,1,"0,8","0,85",1,"0,8","0,9","0,8","0,82",1,1,"0,9","0,9","0,9","0,9","0,95","0,95","0,9",1,1,1,1,1,1,1,"0,95"
Game,"Fry in oven, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,9",1,1,"0,95",1,1,1,1,"0,8","0,85",1,"0,8","0,9","0,8","0,8",1,1,"0,9","0,9","0,9","0,9","0,95","0,95","0,9",1,1,1,1,1,1,1,"0,95"
Game,"Deep fry, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,9",1,1,"0,95",1,1,1,1,"0,8","0,85",1,"0,8","0,9","0,8","0,8",1,1,"0,9","0,9","0,9","0,9","0,95","0,95","0,9",1,1,1,1,1,1,1,"0,95"
Poultry,"Boiled, - Cooking liquid","0,9","0,55","0,55","0,55","0,55","0,55","0,9","0,9",1,"0,4","0,4","0,85","0,7","0,7","0,8","0,5",1,1,"0,75","0,55","0,95","0,6","0,5","0,8","0,55","0,55","0,55","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Poultry,"Boiled,+ Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,"0,9",1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Poultry,"Steamed, - Cooking liquid","0,9","0,55","0,55","0,55","0,55","0,55","0,9","0,9",1,"0,4","0,4","0,85","0,7","0,7","0,8","0,5","0,9",1,"0,75","0,55","0,95","0,6","0,5","0,8","0,55","0,55","0,55","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Poultry,"Steamed, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Poultry,"Stew, braise, - Cooking liquid","0,92","0,6","0,6","0,6","0,6","0,6","0,9","0,9",1,"0,4","0,5","0,85","0,7","0,7","0,8","0,5","0,9",1,"0,75","0,55","0,95","0,6","0,5","0,8","0,6","0,6","0,6","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Poultry,"Stew, braise, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Poultry,"Fry in pan, - Cooking liquid","0,98","0,65","0,65","0,65","0,65","0,65",1,1,1,"0,85","0,9",1,"0,8","0,85","0,95","0,85",1,1,"0,75","0,7",1,"0,55","0,65","0,8","0,75","0,75","0,75","0,8","0,5","0,7","0,8","0,85","0,95","0,95",1,1,1,1,1,1,1,"0,95"
Poultry,"Fry in pan, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Poultry,"Fry in oven, - Cooking liquid",1,"0,75","0,75","0,75","0,75","0,75",1,1,1,"0,85","0,6",1,"0,8","0,8","0,95","0,6",1,1,"0,75","0,6",1,"0,6","0,65","0,8","0,75","0,8","0,8","0,8","0,6","0,7","0,75","0,85","0,85","0,85",1,1,1,1,1,1,1,"0,85"
Poultry,"Fry in oven, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,8","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Poultry,Deep fry,"0,98","0,75","0,75","0,75","0,75","0,75",1,1,1,"0,85","0,9",1,"0,8","0,85","0,85","0,85",1,1,"0,75","0,55","0,9","0,6","0,65","0,8","0,75",1,1,"0,8","0,5","0,7","0,8","0,85","0,85","0,85",1,1,1,1,1,1,1,"0,85"
Poultry,"Fry in pan, breaded",1,1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,"0,9","0,9",1,"0,9",1,1,"0,75","0,8",1,"0,6","0,8","0,8","0,8",1,1,"0,85","0,7","0,7","0,9","0,95",1,1,1,1,1,1,1,1,1,1
Poultry,"Fry in oven, breaded",1,1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,"0,9","0,9",1,"0,9",1,1,"0,75","0,8",1,"0,8","0,8","0,8",1,1,1,"0,85","0,7","0,7","0,9","0,95",1,1,1,1,1,1,1,1,1,1
Poultry,"Deep fry, breaded",1,1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,"0,9","0,9",1,"0,9",1,1,"0,75","0,75",1,"0,6","0,8","0,8","0,8",1,1,"0,85","0,7","0,7","0,9","0,95",1,1,1,1,1,1,1,1,1,1
Turkey,"Boiled, - Cooking liquid","0,9","0,55","0,55","0,55","0,55","0,55","0,9","0,9",1,"0,4","0,4","0,85","0,7","0,7","0,8","0,5",1,1,"0,75","0,55","0,95","0,6","0,5","0,8","0,55","0,55","0,55","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Turkey,"Boiled,+ Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,"0,9",1,"0,8","0,7",1,"0,8","0,7","0,85","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Turkey,"Steamed, - Cooking liquid","0,9","0,55","0,55","0,55","0,55","0,55","0,9","0,9",1,"0,4","0,4","0,85","0,7","0,7","0,8","0,5","0,9",1,"0,75","0,55","0,95","0,6","0,5","0,8","0,55","0,55","0,55","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Turkey,"Steamed, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,85","0,8",1,1,"0,8","0,7","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Turkey,"Stew, braise, - Cooking liquid","0,92","0,6","0,6","0,6","0,6","0,6","0,9","0,9",1,"0,4","0,5","0,85","0,7","0,7","0,8","0,5","0,9",1,"0,75","0,55","0,95","0,6","0,5","0,8","0,6","0,6","0,6","0,6","0,5","0,7","0,6","0,7","0,85","0,75","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,75"
Turkey,"Stew, braise, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,85","0,8",1,1,"0,8","0,6","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Turkey,"Fry in pan, - Cooking liquid","0,98","0,75","0,75","0,75","0,75","0,75",1,1,1,"0,85","0,9",1,"0,8","0,85","0,95","0,85",1,1,"0,75","0,7",1,"0,55","0,65","0,8","0,75","0,75","0,75","0,8","0,5","0,7","0,8","0,85","0,95","0,95",1,1,1,1,1,1,1,"0,95"
Turkey,"Fry in pan, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,85","0,8",1,1,"0,8","0,6","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Turkey,"Fry in oven, - Cooking liquid","1,1","0,75","0,75","0,75","0,75","0,75",1,1,1,"0,85","0,6",1,"0,8","0,8","0,95","0,6",1,1,"0,75","0,6",1,"0,7","0,65","0,8","0,75","0,8","0,8","0,8","0,6","0,7","0,75","0,85","0,85","0,85",1,1,1,1,1,1,1,"0,85"
Turkey,"Fry in oven, + Cooking liquid",1,"0,98","0,98","0,98","0,98","0,98",1,1,1,1,1,1,1,1,1,1,1,1,"0,8","0,7",1,"0,8","0,7","0,85","0,8",1,1,"0,8","0,6","0,7","0,8","0,9","0,93","0,8",1,1,1,1,1,1,1,"0,85"
Turkey,Deep fry,"0,98",1,1,1,1,1,1,1,1,"0,85","0,9",1,"0,8","0,85","0,95","0,85",1,1,"0,75","0,55","0,9","0,6","0,65","0,8","0,75",1,1,"0,8","0,5","0,7","0,8","0,85","0,85","0,85",1,1,1,1,1,1,1,"0,85"
Turkey,"Fry in pan, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,1,"0,9",1,"0,9",1,1,"0,75","0,8",1,"0,65","0,9","0,8","0,8",1,1,"0,9","0,6","0,7","0,8","0,9",1,1,1,1,1,1,1,1,1,1
Turkey,"Fry in oven, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,1,"0,9",1,"0,9",1,1,"0,75","0,8",1,"0,65","0,9","0,8","0,8",1,1,"0,9","0,6","0,7","0,8","0,9",1,1,1,1,1,1,1,1,1,1
Turkey,"Deep fry, breaded","0,98",1,1,1,1,1,"0,95","0,95",1,1,"0,98",1,1,"0,9",1,"0,9",1,1,"0,75","0,7",1,"0,65","0,9","0,8","0,8",1,1,"0,9","0,6","0,7","0,8","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Boiled, - Cooking liquid","0,75","0,9","0,9","0,9","0,9","0,9",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,8","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Boiled,+ Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Steamed, - Cooking liquid","0,75","0,9","0,9","0,9","0,9","0,9",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,8","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Steamed, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Stew, braise, - Cooking liquid","0,75","0,9","0,9","0,9","0,9","0,9",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,8","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Stew, braise, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Fry in pan, - Cooking liquid","0,95","0,95","0,95","0,95","0,95","0,95",1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,8","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Fry in pan, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Fry in oven, - Cooking liquid","0,95","0,95","0,95","0,95","0,95","0,95",1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,8","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Fry in oven, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,Deep fry,"0,95","0,95","0,95","0,95","0,95","0,95",1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,8","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Low fat fish,"Fry in pan, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Fry in oven, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Deep fry, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Frozen, fried",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9","0,95","0,95","0,95","0,9","0,9",1,1,1,"0,95",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Low fat fish,"Frozen, heated",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9",1,"0,95","0,95","0,9","0,9",1,1,1,"0,95",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Boiled, - Cooking liquid","0,75","0,7","0,7","0,7","0,7","0,7",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,85","0,75","0,7","0,7","0,8","0,8","0,7","0,7","0,7","0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Boiled,+ Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,95","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Steamed, - Cooking liquid","0,75","0,7","0,7","0,7","0,7","0,7",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,85","0,75","0,7","0,7","0,8","0,8","0,7","0,7","0,7","0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Steamed, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,95","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Stew, braise, - Cooking liquid","0,75","0,7","0,7","0,7","0,7","0,7",1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,85","0,75","0,7","0,7","0,8","0,8","0,7","0,7","0,7","0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Stew, braise, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,95","0,85",1,"0,85","0,9","0,85","0,85",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Fry in pan, - Cooking liquid","0,95","0,8","0,8","0,8","0,8","0,8",1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,85","0,8","0,9","0,8","0,9","0,8","0,8","0,8","0,8","0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Fry in pan, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,95","0,85",1,"0,85","0,9","0,85","0,85",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Fry in oven, - Cooking liquid","0,95","0,8","0,8","0,8","0,8","0,8",1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,85","0,8","0,9","0,8","0,9","0,8","0,8","0,8","0,8","0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Fry in oven, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,95","0,85",1,"0,85","0,9","0,85","0,85",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,Deep fry,"0,95",1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,85","0,8","0,9","0,8","0,9","0,8","0,8","0,8","0,8","0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
Fat fish,"Fry in pan, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Fry in oven, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Deep fry, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Frozen, fried","0,95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9","0,95","0,95","0,95","0,9","0,9",1,1,1,"0,95",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
Fat fish,"Frozen, heated","0,95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9",1,"0,95","0,95","0,9","0,9",1,1,1,"0,95",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Boiled, - Cooking liquid","0,75",1,1,1,1,1,1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,9","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
"Crab, mussels, squid","Boiled,+ Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Steamed, - Cooking liquid","0,75",1,1,1,1,1,1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,"0,9","0,9","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95",,,,,,,,
"Crab, mussels, squid","Steamed, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Stew, braise, - Cooking liquid","0,75",1,1,1,1,1,1,1,1,"0,85","0,75",1,"0,85","0,85","0,8","0,9",1,1,"0,9","0,75","0,7","0,7","0,8","0,8","0,9",1,1,"0,7","0,7",1,"0,7","0,8","0,95","0,95",,,,,,,,
"Crab, mussels, squid","Stew, braise, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Fry in pan, - Cooking liquid","0,95",1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,9","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
"Crab, mussels, squid","Fry in pan, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Fry in oven, - Cooking liquid","0,95",1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,9","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
"Crab, mussels, squid","Fry in oven, + Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,9",1,1,"0,95","0,85",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid",Deep fry,"0,95",1,1,1,1,1,1,1,1,"0,85","0,85",1,"0,9","0,9","0,85","0,95",1,1,"0,9","0,8","0,9","0,8","0,9","0,8","0,9",1,1,"0,9","0,8",1,"0,8","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
"Crab, mussels, squid","Fry in pan, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Fry in oven, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid","Deep fry, breaded",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,85",1,"0,85","0,9","0,85","0,85",1,1,1,"0,8",1,"0,85","0,9",1,1,1,1,1,1,1,1,1,1
"Crab, mussels, squid",Steamed,1,1,1,1,1,1,1,1,1,1,"0,9",1,1,"0,75","0,9","0,85",1,1,"0,9","0,95","0,95","0,95","0,9","0,8","0,9",1,1,"0,9","0,75",1,"0,8","0,85",1,1,1,1,1,1,1,1,1,1
"Root, tuber and bulb vegetables","Boiled, - Cooking liquid","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,93","0,55","0,45","0,95","0,6","0,9","0,75","0,95","0,75","0,9","0,9","0,7","0,7","0,7","0,6","0,4",1,1,1,"0,7","0,5",1,"0,6","0,7","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9"
"Root, tuber and bulb vegetables","Boiled,+ Cooking liquid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0,9","0,9","0,95","0,9","0,7","0,85",1,1,1,"0,95","0,7",1,"0,9","0,9",1,1,1,1,1,1,1,1,1,1
"Root, tuber and bulb vegetables","Steamed, - Cooking liquid","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,94","0,8","0,85","0,95","0,85","0,95","0,85",1,"0,9","0,95","0,9","0,8","0,9","0,85","0,6","0,8",1,1,1,"0,8","0,6",1,"0,85","0,85","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95","0,95"
